tis1099_code,iso3166_2,name_en_canonical,name_th,name_alternates_en,region,capital,capital_th,established_year,centroid_lat,centroid_lon,notes
10,TH-10,Bangkok,กรุงเทพมหานคร,,,,,,,,"Bangkok is administratively a special administrative area (เขตการปกครองพิเศษ), not a province. Treated as ADM1 here for compatibility with the dominant downstream join pattern."
11,TH-11,Samut Prakan,สมุทรปราการ,,,,,,,,
12,TH-12,Nonthaburi,นนทบุรี,,,,,,,,
13,TH-13,Pathum Thani,ปทุมธานี,,,,,,,,
14,TH-14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,,,,,,,,
15,TH-15,Ang Thong,อ่างทอง,,,,,,,,
16,TH-16,Lopburi,ลพบุรี,,,,,,,,
17,TH-17,Sing Buri,สิงห์บุรี,,,,,,,,
18,TH-18,Chai Nat,ชัยนาท,,,,,,,,
19,TH-19,Saraburi,สระบุรี,,,,,,,,
20,TH-20,Chon Buri,ชลบุรี,,,,,,,,
21,TH-21,Rayong,ระยอง,,,,,,,,
22,TH-22,Chanthaburi,จันทบุรี,,,,,,,,
23,TH-23,Trat,ตราด,,,,,,,,
24,TH-24,Chachoengsao,ฉะเชิงเทรา,,,,,,,,
25,TH-25,Prachin Buri,ปราจีนบุรี,,,,,,,,
26,TH-26,Nakhon Nayok,นครนายก,,,,,,,,
27,TH-27,Sa Kaeo,สระแก้ว,,,,,,,,
30,TH-30,Nakhon Ratchasima,นครราชสีมา,,,,,,,,
31,TH-31,Buri Ram,บุรีรัมย์,,,,,,,,
32,TH-32,Surin,สุรินทร์,,,,,,,,
33,TH-33,Si Sa Ket,ศรีสะเกษ,,,,,,,,
34,TH-34,Ubon Ratchathani,อุบลราชธานี,,,,,,,,
35,TH-35,Yasothon,ยโสธร,,,,,,,,
36,TH-36,Chaiyaphum,ชัยภูมิ,,,,,,,,
37,TH-37,Amnat Charoen,อำนาจเจริญ,,,,,,,,
38,TH-38,Bueng Kan,บึงกาฬ,,,,,,,,
39,TH-39,Nong Bua Lam Phu,หนองบัวลำภู,,,,,,,,
40,TH-40,Khon Kaen,ขอนแก่น,,,,,,,,
41,TH-41,Udon Thani,อุดรธานี,,,,,,,,
42,TH-42,Loei,เลย,,,,,,,,
43,TH-43,Nong Khai,หนองคาย,,,,,,,,
44,TH-44,Maha Sarakham,มหาสารคาม,,,,,,,,
45,TH-45,Roi Et,ร้อยเอ็ด,,,,,,,,
46,TH-46,Kalasin,กาฬสินธุ์,,,,,,,,
47,TH-47,Sakon Nakhon,สกลนคร,,,,,,,,
48,TH-48,Nakhon Phanom,นครพนม,,,,,,,,
49,TH-49,Mukdahan,มุกดาหาร,,,,,,,,
50,TH-50,Chiang Mai,เชียงใหม่,,,,,,,,
51,TH-51,Lamphun,ลำพูน,,,,,,,,
52,TH-52,Lampang,ลำปาง,,,,,,,,
53,TH-53,Uttaradit,อุตรดิตถ์,,,,,,,,
54,TH-54,Phrae,แพร่,,,,,,,,
55,TH-55,Nan,น่าน,,,,,,,,
56,TH-56,Phayao,พะเยา,,,,,,,,
57,TH-57,Chiang Rai,เชียงราย,,,,,,,,
58,TH-58,Mae Hong Son,แม่ฮ่องสอน,,,,,,,,
60,TH-60,Nakhon Sawan,นครสวรรค์,,,,,,,,
61,TH-61,Uthai Thani,อุทัยธานี,,,,,,,,
62,TH-62,Kamphaeng Phet,กำแพงเพชร,,,,,,,,
63,TH-63,Tak,ตาก,,,,,,,,
64,TH-64,Sukhothai,สุโขทัย,,,,,,,,
65,TH-65,Phitsanulok,พิษณุโลก,,,,,,,,
66,TH-66,Phichit,พิจิตร,,,,,,,,
67,TH-67,Phetchabun,เพชรบูรณ์,,,,,,,,
70,TH-70,Ratchaburi,ราชบุรี,,,,,,,,
71,TH-71,Kanchanaburi,กาญจนบุรี,,,,,,,,
72,TH-72,Suphan Buri,สุพรรณบุรี,,,,,,,,
73,TH-73,Nakhon Pathom,นครปฐม,,,,,,,,
74,TH-74,Samut Sakhon,สมุทรสาคร,,,,,,,,
75,TH-75,Samut Songkhram,สมุทรสงคราม,,,,,,,,
76,TH-76,Phetchaburi,เพชรบุรี,,,,,,,,
77,TH-77,Prachuap Khiri Khan,ประจวบคีรีขันธ์,,,,,,,,
80,TH-80,Nakhon Si Thammarat,นครศรีธรรมราช,,,,,,,,
81,TH-81,Krabi,กระบี่,,,,,,,,
82,TH-82,Phangnga,พังงา,,,,,,,,
83,TH-83,Phuket,ภูเก็ต,,,,,,,,
84,TH-84,Surat Thani,สุราษฎร์ธานี,,,,,,,,
85,TH-85,Ranong,ระนอง,,,,,,,,
86,TH-86,Chumphon,ชุมพร,,,,,,,,
90,TH-90,Songkhla,สงขลา,,,,,,,,
91,TH-91,Satun,สตูล,,,,,,,,
92,TH-92,Trang,ตรัง,,,,,,,,
93,TH-93,Phatthalung,พัทลุง,,,,,,,,
94,TH-94,Pattani,ปัตตานี,,,,,,,,
95,TH-95,Yala,ยะลา,,,,,,,,
96,TH-96,Narathiwat,นราธิวาส,,,,,,,,
