tis1099_district_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,area_km2,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,num_tambon,postal_code_prefixes,notes
7007,70,Photharam,โพธาราม,13.71183,99.75386,478.6,13.60992,99.53302,13.79552,99.94821,19,7012,
7008,70,Pak Tho,ปากท่อ,13.36515,99.6632,821.6,13.20715,99.49867,13.5042,99.88368,12,7014,
7009,70,Wat Phleng,วัดเพลง,13.4491,99.87207,17.0,13.41627,99.83958,13.4701,99.89092,3,7017,
7010,70,Ban Kha,บ้านคา,13.32418,99.38758,847.4,13.14879,99.19883,13.51457,99.54153,3,7018,
7101,71,Mueang Kanchanaburi,เมืองกาญจนบุรี,14.07694,99.32976,1506.3,13.75713,99.0206,14.34492,99.59285,13,7100|7119,
7102,71,Sai Yok,ไทรโยค,14.266,98.922,2626.3,13.91801,98.53335,14.55839,99.31856,7,7115,
7103,71,Bo Phloi,บ่อพลอย,14.39042,99.44811,1221.7,14.12864,99.28333,14.63398,99.58526,6,7116|7122,
7104,71,Si Sawat,ศรีสวัสดิ์,14.67762,99.12553,3004.8,14.22836,98.87716,15.071,99.35993,6,7122|7125,
7105,71,Tha Maka,ท่ามะกา,13.94681,99.77738,398.6,13.82397,99.66627,14.09401,99.87586,17,7019|7112|7113,
7106,71,Tha Muang,ท่าม่วง,13.92131,99.60524,552.6,13.75984,99.47021,14.10626,99.7322,13,7111|7113,
7107,71,Thong Pha Phum,ทองผาภูมิ,14.83397,98.68837,3808.8,14.44289,98.24594,15.27507,98.99966,7,7118,
7108,71,Sangkhla Buri,สังขละบุรี,15.20132,98.52294,3289.9,14.85395,98.18118,15.65248,98.88626,3,7124,
7109,71,Phanom Thuan,พนมทวน,14.16018,99.69097,462.2,14.0231,99.56561,14.27525,99.82852,8,7114|7117,
7110,71,Lao Khwan,เลาขวัญ,14.59768,99.69071,1032.3,14.38112,99.54494,14.80212,99.82929,7,7121,
7111,71,Dan Makham Tia,ด่านมะขามเตี้ย,13.83929,99.32277,597.2,13.72585,99.14855,13.9495,99.50982,4,7126,
7112,71,Nong Prue,หนองปรือ,14.68076,99.41814,541.2,14.53456,99.23918,14.83205,99.58033,3,7122,
7113,71,Huai Krachao,ห้วยกระเจา,14.33817,99.68335,524.4,14.24026,99.5445,14.46141,99.82852,4,7117,
7201,72,Mueang Saphan Buri,เมืองสุพรรณบุรี,14.48877,100.07122,543.0,14.33672,99.91871,14.59495,100.25315,20,7200|7221|7223,
7202,72,Doem Bang Nang Buat,เดิมบางนางบวช,14.88047,100.03404,536.6,14.76767,99.73173,14.96262,100.22643,14,7212,
7203,72,Dan Chang,ด่านช้าง,14.88598,99.50673,1217.2,14.70895,99.2828,15.08091,99.81296,7,7218,
7204,72,Bang Pla Ma,บางปลาม้า,14.35183,100.15165,474.4,14.24156,99.98405,14.4538,100.2785,14,7215,
7205,72,Si Prachan,ศรีประจันต์,14.64664,100.15494,297.9,14.55551,100.05249,14.7707,100.24265,9,7214,
7206,72,Don Chedi,ดอนเจดีย์,14.65175,99.93813,322.6,14.57106,99.78944,14.73602,100.08632,5,7217|7225,
7207,72,Song Phi Nong,สองพี่น้อง,14.19635,99.99695,675.7,14.06424,99.77221,14.34076,100.23609,15,7211|7219,
7208,72,Sam Chuk,สามชุก,14.75763,100.06284,275.0,14.67654,99.98176,14.84466,100.19779,7,7213,
7209,72,U Thong,อู่ทอง,14.41459,99.8884,638.3,14.22879,99.79486,14.6353,99.97932,13,7216|7222,
7210,72,Nong Ya Sai,หนองหญ้าไซ,14.78612,99.86178,415.9,14.68989,99.65283,14.87185,99.98425,6,7224,
7301,73,Mueang Nakhon Pathom,เมืองนครปฐม,13.81768,100.02348,378.9,13.69335,99.90905,13.93397,100.1165,25,7300,
7302,73,Kamphaeng Saen,กำแพงแสน,14.02915,99.96029,492.3,13.8846,99.8141,14.14544,100.06428,15,7314|7318,
7303,73,Nakhon Chai Si,นครชัยศรี,13.82842,100.17709,250.3,13.70479,100.10741,13.92272,100.25612,24,7312,
